Time,Channel A,Channel B
(ms),(mV),(mV)

9.23407209,-0.11072830,-1.18110200
9.26740810,-0.12303150,-1.27952700
9.30074410,-0.13533460,-1.39640700
9.33408010,-0.14148620,-1.43946800
9.36741610,-0.15994090,-1.50713600
9.40075210,-0.16609250,-1.52559000
9.43408810,-0.17224410,-1.58095500
9.46742410,-0.17224410,-1.63016700
9.50076010,-0.19069880,-1.66092500
9.53409610,-0.19685040,-1.62401600
9.56743210,-0.20300200,-1.62401600
9.60076810,-0.20915350,-1.56865100
9.63410410,-0.21530510,-1.50713600
9.66744010,-0.22145670,-1.45792300
9.70077610,-0.23375980,-1.37795300
9.73411210,-0.23991140,-1.32874000
9.76744810,-0.24606300,-1.27337600
9.80078410,-0.23991140,-1.19955700
9.83412010,-0.23991140,-1.19340500
9.86745610,-0.23991140,-1.23646700
9.90079210,-0.24606300,-1.25492100
9.93412810,-0.24606300,-1.32258800
9.96746410,-0.23991140,-1.36565000
10.00080010,-0.23375980,-1.42101400
10.03413610,-0.23991140,-1.48253000
10.06747210,-0.23991140,-1.46407500
10.10080810,-0.22760820,-1.48868100
10.13414410,-0.22760820,-1.43946800
10.16748010,-0.22760820,-1.35949800
10.20081610,-0.22145670,-1.26722400
10.23415211,-0.22145670,-1.13804100
10.26748811,-0.21530510,-0.99040350
10.30082411,-0.21530510,-0.83046260
10.33416011,-0.20300200,-0.65821850
10.36749611,-0.19685040,-0.47982280
10.40083211,-0.19069880,-0.35063970
10.43416811,-0.17224410,-0.22760820
10.46750411,-0.15994090,-0.15378940
10.50084011,-0.15378940,-0.09842519
10.53417611,-0.13533460,-0.12303150
10.56751211,-0.12918310,-0.19069880
10.60084811,-0.10457680,-0.29527560
10.63418411,-0.09842519,-0.43061020
10.66752011,-0.07381889,-0.57209640
10.70085611,-0.06766732,-0.71358260
10.73419211,-0.05536417,-0.86122040
10.76752811,-0.03690945,-1.03346500
10.80086411,-0.02460630,-1.19955700
10.83420011,0.00000000,-1.29183100
10.86753611,0.01230315,-1.34719500
10.90087211,0.02460630,-1.43331700
10.93420811,0.03690945,-1.40255900
10.96754411,0.04921259,-1.35334600
11.00088011,0.07381889,-1.23646700
11.03421611,0.09227362,-1.05807100
11.06755211,0.11072830,-0.92273620
11.10088811,0.12918310,-0.72588580
11.13422411,0.14148620,-0.55979330
11.16756011,0.15378940,-0.38754920
11.20089612,0.16609250,-0.24606300
11.23423212,0.17839570,-0.15994090
11.26756812,0.19685040,-0.07997046
11.30090412,0.21530510,-0.03690945
11.33424012,0.23375980,0.00000000
11.36757612,0.24606300,-0.04921259
11.40091212,0.25221450,-0.07381889
11.43424812,0.27682080,-0.12918310
11.46758412,0.28912400,-0.17839570
11.50092012,0.30142710,-0.23375980
11.53425612,0.31373030,-0.30142710
11.56759212,0.32603340,-0.31373030
11.60092812,0.33833660,-0.33218500
11.63426412,0.34448820,-0.30757870
11.66760012,0.36294290,-0.28912400
11.70093612,0.36909450,-0.30142710
11.73427212,0.38754920,-0.27682080
11.76760812,0.39370070,-0.24606300
11.80094412,0.40600390,-0.20915350
11.83428012,0.41215550,-0.18454720
11.86761612,0.42445860,-0.14148620
11.90095212,0.43061020,-0.05536417
11.93428812,0.43061020,0.00615157
11.96762412,0.43676180,0.14763780
12.00096012,0.43676180,0.23991140
12.03429612,0.44291340,0.38139760
12.06763212,0.45521650,0.57824800
12.10096812,0.46136810,0.79970470
12.13430412,0.46136810,1.00270700
12.16764012,0.46751960,1.20570900
12.20097613,0.46751960,1.40255900
12.23431213,0.47367120,1.58710600
12.26764813,0.47367120,1.72859200
12.30098413,0.48597440,1.86392700
12.33432013,0.48597440,1.85162400
12.36765613,0.49827750,1.83932100
12.40099213,0.49212600,1.75319900
12.43432813,0.49827750,1.65477300
12.46766413,0.49827750,1.47022600
12.50100013,0.50442900,1.25492100
12.53433613,0.50442900,1.02731300
12.56767213,0.50442900,0.78124990
12.60100813,0.50442900,0.54749010
12.63434413,0.49827750,0.31373030
12.66768013,0.49827750,0.09227362
12.70101613,0.49212600,-0.06766732
12.73435213,0.49212600,-0.22145670
12.76768813,0.49212600,-0.33833660
12.80102413,0.49212600,-0.43676180
12.83436013,0.49827750,-0.49827750
12.86769613,0.49827750,-0.50442900
12.90103213,0.49212600,-0.49212600
12.93436813,0.49212600,-0.46751960
12.96770413,0.49212600,-0.45521650
13.00104013,0.49212600,-0.37524600
13.03437613,0.47982280,-0.33833660
13.06771213,0.47982280,-0.29527560
13.10104813,0.47367120,-0.25221450
13.13438413,0.47367120,-0.22145670
13.16772014,0.47367120,-0.23991140
13.20105614,0.47367120,-0.21530510
13.23439214,0.47367120,-0.25221450
13.26772814,0.46751960,-0.31988190
13.30106414,0.46751960,-0.41215550
13.33440014,0.45521650,-0.46751960
13.36773614,0.46136810,-0.54133860
13.40107214,0.45521650,-0.67667320
13.43440814,0.44906490,-0.80585630
13.46774414,0.44906490,-0.93503930
13.50108014,0.44291340,-1.04576800
13.53441614,0.44291340,-1.13189000
13.56775214,0.44291340,-1.19340500
13.60108814,0.43676180,-1.24261800
13.63442414,0.43676180,-1.26107300
13.66776014,0.42445860,-1.25492100
13.70109614,0.41830710,-1.27952700
13.73443214,0.41830710,-1.18725400
13.76776814,0.41215550,-1.15034400
13.80110414,0.41215550,-1.05807100
13.83444014,0.40600390,-0.92273620
13.86777614,0.39985230,-0.78740150
13.90111214,0.39370070,-0.62746060
13.93444814,0.39985230,-0.46751960
13.96778414,0.39370070,-0.26451770
14.00112014,0.39370070,-0.09227362
14.03445614,0.38754920,0.11072830
14.06779214,0.38754920,0.25221450
14.10112814,0.38754920,0.39370070
14.13446415,0.38139760,0.53518700
14.16780015,0.37524600,0.63976370
14.20113615,0.36294290,0.65206690
14.23447215,0.36294290,0.70127950
14.26780815,0.36294290,0.67052160
14.30114415,0.35063970,0.64591530
14.33448015,0.35679130,0.57824800
14.36781615,0.34448820,0.46751960
14.40115215,0.33218500,0.38754920
14.43448815,0.31988190,0.23991140
14.46782415,0.31373030,0.14763780
14.50116015,0.31373030,0.09227362
14.53449615,0.30757870,0.02460630
14.56783215,0.30142710,-0.03690945
14.60116815,0.28297240,-0.06151574
14.63450415,0.28912400,-0.11687990
14.66784015,0.27682080,-0.14148620
14.70117615,0.27066930,-0.13533460
14.73451215,0.26451770,-0.19685040
14.76784815,0.25836610,-0.22145670
14.80118415,0.24606300,-0.25836610
14.83452015,0.23375980,-0.34448820
14.86785615,0.22760820,-0.46136810
14.90119215,0.20915350,-0.58439960
14.93452815,0.20300200,-0.70743110
14.96786415,0.19685040,-0.87967510
15.00120015,0.19069880,-1.02731300
15.03453615,0.17839570,-1.18725400
15.06787215,0.17839570,-1.32874000
15.10120816,0.17224410,-1.46407500
15.13454416,0.15994090,-1.58095500
15.16788016,0.15378940,-1.66092500
15.20121616,0.14763780,-1.71628900
15.23455216,0.13533460,-1.74089600
15.26788816,0.13533460,-1.69168300
15.30122416,0.12303150,-1.66092500
15.33456016,0.12303150,-1.63016700
15.36789616,0.11687990,-1.48868100
15.40123216,0.10457680,-1.37180100
15.43456816,0.09842519,-1.16879900
15.46790416,0.09227362,-1.01501000
15.50124016,0.08612204,-0.84276570
15.53457616,0.07997046,-0.68282480
15.56791216,0.06766732,-0.51673230
15.60124816,0.06151574,-0.36909450
15.63458416,0.06151574,-0.19685040
15.66792016,0.05536417,-0.05536417
15.70125616,0.05536417,0.08612204
15.73459216,0.04921259,0.17224410
15.76792816,0.04921259,0.30142710
15.80126416,0.04921259,0.39370070
15.83460016,0.04921259,0.52288380
15.86793616,0.04921259,0.61515740
15.90127216,0.04921259,0.70127950
15.93460816,0.04921259,0.81200780
15.96794416,0.04921259,0.89197830
16.00128016,0.04306102,0.94734250
16.03461616,0.04921259,0.99040350
16.06795217,0.05536417,1.03346500
16.10128817,0.05536417,1.03346500
16.13462417,0.04921259,0.99040350
16.16796017,0.05536417,0.94734250
16.20129617,0.05536417,0.89197830
16.23463217,0.05536417,0.80585630
16.26796817,0.06151574,0.74434050
16.30130417,0.07381889,0.69512790
16.33464017,0.07381889,0.67667320
16.36797617,0.07997046,0.63976370
16.40131217,0.08612204,0.69512790
16.43464817,0.09842519,0.78124990
16.46798417,0.09842519,0.89812980
16.50132017,0.11687990,1.02731300
16.53465617,0.12918310,1.23031500
16.56799217,0.14148620,1.43331700
16.60132817,0.14148620,1.64862200
16.63466417,0.15994090,1.85777500
16.66800017,0.17224410,2.01771600
16.70133617,0.18454720,2.13459600
16.73467217,0.19069880,2.23917300
16.76800817,0.20915350,2.22687000
16.80134417,0.22760820,2.23917300
16.83468017,0.23991140,2.10999000
16.86801617,0.26451770,1.98695800
16.90135217,0.27682080,1.79626000
16.93468817,0.29527560,1.55019700
16.96802417,0.31373030,1.32874000
17.00136017,0.32603340,1.07037400
17.03469617,0.35063970,0.79355310
17.06803218,0.36294290,0.54749010
17.10136818,0.38139760,0.30142710
17.13470418,0.39370070,0.06766732
17.16804018,0.41215550,-0.12918310
17.20137618,0.43676180,-0.28912400
17.23471218,0.45521650,-0.41215550
17.26804818,0.47982280,-0.55979330
17.30138418,0.49827750,-0.65821850
17.33472018,0.52288380,-0.78124990
17.36805618,0.54133860,-0.81815940
17.40139218,0.55364170,-0.88582670
17.43472818,0.57209640,-0.97810030
17.46806418,0.59670270,-0.98425190
17.50140018,0.60900590,-0.99655500
17.53473618,0.63976370,-1.02116100
17.56807218,0.65821850,-0.94119090
17.60140818,0.68282480,-0.84891720
17.63474418,0.69512790,-0.76279520
17.66808018,0.71358260,-0.62746060
17.70141618,0.73818890,-0.45521650
17.73475218,0.75049200,-0.24606300
17.76808818,0.76894680,0.01845472
17.80142418,0.79355310,0.23375980
17.83476018,0.80585630,0.49212600
17.86809618,0.82431100,0.74434050
17.90143218,0.84891720,0.99040350
17.93476818,0.87352360,1.24261800
17.96810418,0.89197830,1.50098400
18.00144018,0.90428140,1.72859200
18.03477619,0.91658460,1.95620100
18.06811219,0.92888770,2.11614200
18.10144819,0.94119090,2.31299200
18.13478419,0.95964560,2.47293300
18.16812019,0.97194880,2.58981300
18.20145619,0.99040350,2.68823800
18.23479219,1.00270700,2.71899600
18.26812819,1.01501000,2.75590500
18.30146419,1.02731300,2.71284400
18.33480019,1.03961600,2.70669300
18.36813619,1.05807100,2.58981300
18.40147219,1.07037400,2.46678100
18.43480819,1.07652500,2.31914400
18.46814419,1.10113200,2.14689900
18.50148019,1.10728300,1.95004900
18.53481619,1.11343500,1.77780500
18.56815219,1.11958700,1.55019700
18.60148819,1.13804100,1.37180100
18.63482419,1.14419300,1.16264800
18.66816019,1.15034400,0.98425190
18.70149619,1.15649600,0.84891720
18.73483219,1.16879900,0.69512790
18.76816819,1.16879900,0.54133860
18.80150419,1.16879900,0.36909450
18.83484019,1.16879900,0.26451770
18.86817619,1.16264800,0.15378940
18.90151219,1.16879900,0.07381889
18.93484819,1.16264800,0.02460630
18.96818419,1.15649600,-0.01230315
19.00152020,1.16264800,-0.03075787
19.03485620,1.15649600,-0.04921259
19.06819220,1.15649600,-0.00615157
19.10152820,1.15649600,0.02460630
19.13486420,1.16264800,0.05536417
19.16820020,1.15649600,0.09842519
19.20153620,1.15649600,0.15378940
19.23487220,1.15649600,0.14763780
19.26820820,1.15034400,0.07997046
19.30154420,1.13804100,0.03690945
19.33488020,1.12573800,-0.06151574
19.36821620,1.11343500,-0.19069880
19.40155220,1.10728300,-0.32603340
19.43488820,1.10728300,-0.43676180
19.46822420,1.09498000,-0.60285430
19.50156020,1.08882900,-0.70743110
19.53489620,1.08267700,-0.79355310
19.56823220,1.06422200,-0.83661410
19.60156820,1.05191900,-0.87352360
19.63490420,1.03346500,-0.83046260
19.66824020,1.02116100,-0.74434050
19.70157620,1.00885800,-0.69512790
19.73491220,0.99040350,-0.55364170
19.76824820,0.99040350,-0.39985230
19.80158420,0.97810030,-0.22760820
19.83492020,0.95964560,-0.06151574
19.86825620,0.93503930,0.09227362
19.90159220,0.91658460,0.25221450
19.93492820,0.91043300,0.37524600
19.96826421,0.89812980,0.43061020
20.00160021,0.88582670,0.46751960
20.03493621,0.87352360,0.47367120
20.06827221,0.84891720,0.46751960
20.10160821,0.83046260,0.43676180
20.13494421,0.81815940,0.39985230
20.16828021,0.79355310,0.30757870
20.20161621,0.77509840,0.19685040
20.23495221,0.75049200,0.12303150
20.26828821,0.73203740,0.09227362
20.30162421,0.71973420,0.02460630
20.33496021,0.69512790,-0.03075787
20.36829621,0.68282480,-0.03690945
20.40163221,0.66437010,-0.03690945
20.43496821,0.64591530,-0.05536417
20.46830421,0.62746060,0.01845472
20.50164021,0.60285430,0.07997046
20.53497621,0.58439960,0.13533460
20.56831221,0.55979330,0.17839570
20.60164821,0.53518700,0.22145670
20.63498421,0.51673230,0.19685040
20.66832021,0.49827750,0.17224410
20.70165621,0.48597440,0.12918310
20.73499221,0.46751960,0.08612204
20.76832821,0.44291340,0.00000000
20.80166421,0.42445860,-0.07381889
20.83500021,0.41215550,-0.18454720
20.86833621,0.38754920,-0.26451770
20.90167221,0.36294290,-0.31373030
20.93500822,0.34448820,-0.37524600
20.96834422,0.33218500,-0.40600390
21.00168022,0.30757870,-0.42445860
21.03501622,0.28912400,-0.39370070
21.06835222,0.26451770,-0.41830710
21.10168822,0.23991140,-0.37524600
21.13502422,0.22760820,-0.36909450
21.16836022,0.20915350,-0.31988190
21.20169622,0.19069880,-0.27066930
21.23503222,0.17224410,-0.23991140
21.26836822,0.15994090,-0.20300200
21.30170422,0.14148620,-0.16609250
21.33504022,0.12918310,-0.15994090
21.36837622,0.11072830,-0.11072830
21.40171222,0.09227362,-0.09227362
21.43504822,0.07997046,-0.00615157
21.46838422,0.06151574,0.03690945
21.50172022,0.03690945,0.10457680
21.53505622,0.01845472,0.19069880
21.56839222,0.00000000,0.28297240
21.60172822,-0.01845472,0.40600390
21.63506422,-0.03690945,0.52903540
21.66840022,-0.05536417,0.64591530
21.70173622,-0.06766732,0.78124990
21.73507222,-0.07997046,0.86737200
21.76840822,-0.08612204,0.97194880
21.80174422,-0.09842519,1.06422200
21.83508022,-0.11072830,1.13189000
21.86841622,-0.12918310,1.23031500
21.90175222,-0.13533460,1.26722400
21.93508823,-0.14763780,1.29798200
21.96842423,-0.15994090,1.27952700
22.00176023,-0.17839570,1.27337600
22.03509623,-0.19069880,1.20570900
22.06843223,-0.19685040,1.18725400
22.10176823,-0.21530510,1.08882900
22.13510423,-0.23375980,1.00885800
22.16844023,-0.24606300,0.94734250
22.20177623,-0.25836610,0.84891720
22.23511223,-0.27682080,0.79355310
22.26844823,-0.28912400,0.68282480
22.30178423,-0.28912400,0.60285430
22.33512023,-0.30142710,0.56594490
22.36845623,-0.30757870,0.49827750
22.40179223,-0.31988190,0.42445860
22.43512823,-0.33218500,0.33833660
22.46846423,-0.35063970,0.27066930
22.50180023,-0.35679130,0.20300200
22.53513623,-0.36294290,0.08612204
22.56847223,-0.37524600,-0.02460630
22.60180823,-0.38139760,-0.17839570
22.63514423,-0.38139760,-0.36294290
22.66848023,-0.39370070,-0.56594490
22.70181623,-0.40600390,-0.77509840
22.73515223,-0.41215550,-0.99655500
22.76848823,-0.41215550,-1.22416300
22.80182423,-0.41830710,-1.45177200
22.83516023,-0.41830710,-1.64862200
22.86849623,-0.43061020,-1.85777500
22.90183224,-0.43676180,-2.01156500
22.93516824,-0.44291340,-2.07923200
22.96850424,-0.44291340,-2.12844500
23.00184024,-0.44291340,-2.14074800
23.03517624,-0.44906490,-2.09153500
23.06851224,-0.44906490,-2.01771600
23.10184824,-0.45521650,-1.89468500
23.13518424,-0.45521650,-1.67938000
23.16852024,-0.46136810,-1.48868100
23.20185624,-0.46751960,-1.27952700
23.23519224,-0.47982280,-1.10113200
23.26852824,-0.47982280,-0.87967510
23.30186424,-0.47367120,-0.71973420
23.33520024,-0.47367120,-0.56594490
23.36853624,-0.47982280,-0.49212600
23.40187224,-0.47367120,-0.39985230
23.43520824,-0.46751960,-0.33833660
23.46854424,-0.47367120,-0.31988190
23.50188024,-0.47367120,-0.35679130
23.53521624,-0.47367120,-0.35063970
23.56855224,-0.47367120,-0.36909450
23.60188824,-0.46751960,-0.39985230
23.63522424,-0.46136810,-0.34448820
23.66856024,-0.45521650,-0.30142710
23.70189624,-0.44291340,-0.20300200
23.73523224,-0.43676180,-0.06151574
23.76856824,-0.43061020,0.11687990
23.80190424,-0.41830710,0.36294290
23.83524024,-0.40600390,0.62130900
23.86857625,-0.39985230,0.92888770
23.90191225,-0.39985230,1.24877000
23.93524825,-0.38754920,1.52559000
23.96858425,-0.37524600,1.80856300
24.00192025,-0.36909450,2.05462600
24.03525625,-0.36294290,2.25147600
24.06859225,-0.35063970,2.38065900
24.10192825,-0.34448820,2.47293300
24.13526425,-0.32603340,2.47293300
24.16860025,-0.31373030,2.41141700
